Date,Open,High,Low,Close,Volume
00-00-00,4.928746833849618,4.953639494626636,4.9038541730726,4.934970378875732,1802400
00-00-00,4.91007675713071,4.934969413035901,4.754497277891481,4.791836261749268,8014400
00-00-00,4.679819148975414,4.710935347616863,4.518016891165094,4.530463218688965,9810400
00-00-00,4.555356030649953,4.8167289176544585,4.555356030649953,4.791836261749268,6542400
00-00-00,4.766944885253906,4.766944885253906,4.6362587865083364,4.766944885253906,4891200
00-00-00,4.748275768146157,4.779391216546998,4.6798205662022685,4.766944885253906,3993600
00-00-00,4.791838107668985,4.872739650357666,4.779391774921793,4.847846984863281,3946400
00-00-00,4.9163003713985525,5.202565962644544,4.9038540413443785,5.090548992156982,10976000
00-00-00,5.065656255166743,5.078102585032017,4.8914076370528985,4.916300296783447,10050400
00-00-00,4.885186616928768,5.022096294911098,4.822954945118617,4.978533744812012,5144800
00-00-00,5.0407638763436,5.165227181932331,5.015871215225854,5.109219074249268,7680800
00-00-00,5.053211619530195,5.140335957797958,4.984757162151782,5.040765285491943,8356000
00-00-00,5.152783110829507,5.327031815060456,5.121667650620298,5.258577346801758,10299200
00-00-00,5.302137953628969,5.31458428685345,5.102996622037271,5.13411283493042,5103200
00-00-00,5.134111364348214,5.134111364348214,5.02831718241119,5.046987056732178,10265600
00-00-00,4.941195142210368,5.003426819064403,4.903856136097947,4.947418689727783,5733600
00-00-00,4.934971323351154,4.990979440986653,4.829177114969629,4.86651611328125,3823200
00-00-00,4.592698010531339,4.953641756616458,4.592698010531339,4.928749084472656,12886400
00-00-00,4.779391818576389,4.841623482880769,4.617589491385001,4.704713821411133,6304000
00-00-00,4.679822377522786,4.679822377522786,4.580251688639323,4.6673760414123535,3556000
00-00-00,4.580248528784448,4.598918399902026,4.524240434758802,4.530463218688965,4627200
00-00-00,4.524240303506365,4.692265340372285,4.5055704329304165,4.648703575134277,5971200
00-00-00,4.642483293939258,4.829178332569523,4.598921498090891,4.723384857177734,5572800
00-00-00,4.710936774266884,4.766944885253906,4.6362587865083364,4.766944885253906,3973600
00-00-00,4.766943303349032,4.766943303349032,4.64248003172112,4.648703575134277,12485600
00-00-00,4.642480992480536,4.642480992480536,4.449563261364794,4.505571365356445,6455200
00-00-00,4.480678294156049,4.480678294156049,3.596988963919717,3.6841132640838623,65707200
00-00-00,3.6343294532210737,3.6343294532210737,3.2236004396721167,3.3605101108551025,62571200
00-00-00,3.323171109623379,3.4663043275102807,3.273385774647748,3.3605101108551025,25032800
00-00-00,3.3978475770529575,3.435186561416177,3.2982769520843727,3.3854012489318848,12644800
00-00-00,3.3356179481234287,3.391626838278417,3.1987082562228406,3.2173781394958496,17859200
00-00-00,3.192484395743204,3.1987071816343358,3.0120122099436157,3.03068208694458,30056000
00-00-00,3.030682905224301,3.061798362408654,2.9124423447301835,2.9373350143432617,22678400
00-00-00,2.918664650265719,2.974672753235389,2.868879332219939,2.8875484466552734,14977600
00-00-00,2.8751022443175316,2.8999949044414928,2.7257462835737636,2.787977933883667,26087200
00-00-00,2.8502094668370708,2.8626557963865777,2.6884071826934814,2.6884071826934814,12847200
00-00-00,2.812870728627129,2.8377633899424137,2.781755281814892,2.794201612472534,12624800
00-00-00,2.78797869774676,2.794202244314756,2.6510690295538386,2.694631576538086,16156800
00-00-00,2.6884065335037723,2.6946300766075146,2.6386212273277767,2.6448447704315186,14830400
00-00-00,2.6821851284173865,2.8128712444562014,2.669738795477315,2.7755322456359863,16385600
00-00-00,2.7755317171662095,2.89999502286873,2.7755317171662095,2.831540584564209,12575200
00-00-00,2.8315407842576192,2.8564334471536696,2.781755458465519,2.800424575805664,9884800
00-00-00,2.8253180614796296,2.980897629719101,2.800425391334435,2.931112289428711,11260800
00-00-00,2.993343098504138,3.012012215878101,2.899995232642965,2.9248878955841064,6912800
00-00-00,2.9373344454848973,2.94978077788102,2.806648335157533,2.837763786315918,7684800
00-00-00,2.862656576216488,2.868880122518462,2.7568631260578167,2.7755322456359863,9532000
00-00-00,2.7133004665374756,2.750639463783404,2.6884078017068567,2.7133004665374756,10000000
00-00-00,2.7008528787399007,2.7132992053700384,2.570166828955199,2.6635138988494873,14059200
00-00-00,2.6821855184900287,2.731970857490642,2.6697391837398756,2.675961971282959,12566400
00-00-00,2.700854489077692,2.91244216794553,2.6386228188224456,2.862656831741333,20965600
00-00-00,2.8875486117936835,2.999565583802921,2.8128706304541917,2.8751022815704346,18244000
00-00-00,2.8502094438581755,3.335616292375507,2.843986658965426,3.2858309745788574,25912800
00-00-00,3.2855827370434136,3.7905769881668627,3.1297198158877717,3.5661349296569824,17427200
